book,w2vsvm book pred proba,w2vsvm chap pred avg,w2vsvm chap pred proba avg,mnb book pred,mnb chap pred avg,svm book pred proba,svm chap pred proba avg,authenticity
1,0.9911713852297936,0.925925925925926,0.7405718829954627,1,0.8148148148148148,0.9999997665080737,0.8784202042468565,1
2,0.972881992938478,0.8695652173913043,0.7292017236960361,1,0.8695652173913043,0.999999902498235,0.8901531672704618,1
3,0.9781864747758447,0.7777777777777778,0.7209863344134886,1,0.8888888888888888,0.9538233593253621,0.864677059118362,1
4,0.9736084102872772,0.92,0.7306182381900066,1,0.84,0.991939146260532,0.7782790314341377,1
5,0.9880037507198872,0.875,0.7964611565704058,1,0.875,0.9524731473815714,0.8167492789288398,1
6,0.9086721286549598,0.84,0.7534344417671449,1,0.84,0.9847929571604904,0.8148765028735424,1
7,0.9682909584488528,0.7407407407407407,0.6936658916150017,1,0.7777777777777778,0.9999987615371464,0.7420213204274185,1
8,0.8020799851512099,0.8636363636363636,0.7131129979474616,1,0.6363636363636364,0.9999935734980113,0.7302259071805309,1
9,0.9702439570018192,0.9583333333333334,0.7450370304246019,1,0.8333333333333334,0.9865878050097151,0.8354795899979237,1
10,0.9892422859516896,0.9230769230769232,0.7431989339859381,1,0.8846153846153846,0.9999994562341898,0.8619019888486601,1
11,0.9917393966555356,0.8695652173913043,0.7347573622164194,1,0.6956521739130435,0.9904746159914856,0.7835110743487111,1
12,0.8770325893804359,0.6296296296296297,0.633117408793614,1,0.8888888888888888,0.9539081026072194,0.7878884439028945,1
13,0.607863936222398,0.6296296296296297,0.6342667873762371,0,0.5555555555555556,0.3824843904890438,0.7888820249552007,1
14,0.6194569746694923,0.6666666666666666,0.5998333687837984,1,0.7407407407407407,0.9882227619563291,0.7557377226275811,1
15,0.9267576517980192,0.7777777777777778,0.6674897860461528,1,0.7777777777777778,0.9086814362001758,0.7756109940908759,1
16,0.8128776411549493,0.6538461538461539,0.6267202600418339,1,0.7692307692307693,0.9247067873738878,0.7521612764824981,1
17,0.7031516084434544,0.6333333333333333,0.6032529221931557,1,0.7333333333333333,0.9901835048259432,0.7694078698561609,1
18,0.8168112140168361,0.7586206896551724,0.6116239302599054,1,0.5517241379310345,0.4260235756695567,0.6345662972424047,1
19,0.9652135279957827,0.8214285714285714,0.720278915332977,1,0.8571428571428571,0.9564799373439258,0.7626763694300012,1
20,0.8700304453427513,0.6923076923076923,0.5977887118313979,1,0.5384615384615384,0.8814043564214784,0.6597186287620747,1
21,0.8861956347301179,0.8571428571428571,0.7030477505415053,1,0.7142857142857143,0.9669451920842951,0.7740528925345334,1
22,0.7821832032003381,0.5862068965517241,0.5756784035532879,1,0.7931034482758621,0.9762304236151961,0.6427691543076647,1
23,0.9151015736408552,0.5161290322580645,0.5304431197871772,1,0.7419354838709677,0.8710089753436009,0.6811448003432262,1
24,0.1937683658644782,0.6666666666666666,0.6239282026822761,1,0.7,0.9504847129725484,0.725878875877821,1
25,0.921148057662904,0.5925925925925926,0.6228497906185313,1,0.6666666666666666,0.2947112077718176,0.6276079139683391,0
26,0.2793935305574531,0.4642857142857143,0.5399575067892849,1,0.75,0.5570014033986777,0.5717879407943041,1
27,0.024518991810361296,0.35714285714285715,0.4480807114484207,0,0.5714285714285714,0.17157634533453894,0.45568210359421585,0
28,0.09269261490012932,0.4444444444444444,0.5021580415523755,0,0.5185185185185185,0.08201813341155476,0.5655938997290181,0
29,0.4395577420842956,0.6428571428571429,0.5699296895405163,0,0.39285714285714285,0.19290898021225206,0.314631208171745,0
30,0.476122860629582,0.43333333333333335,0.4723043049304708,0,0.26666666666666666,0.146164176960384,0.4549974420938489,0
31,0.15149320928185012,0.25925925925925924,0.341966503144358,0,0.4444444444444444,0.05253468397436056,0.5013494558065921,0
32,0.9351685292972884,0.5,0.5264184773791906,1,0.7058823529411765,0.9681413777466681,0.7548252728340717,1
33,0.1504815121598708,0.1851851851851852,0.3407885665017395,0,0.2962962962962963,0.22963123750588668,0.3447829679115294,0
34,0.5934487117241302,0.8,0.6538023744695458,1,0.52,0.2934510633917691,0.5224704218845223,0
35,0.2353646320956257,0.44,0.4548111217196809,0,0.32,0.0873621970467238,0.244698865907528,0
36,0.1182628157855342,0.16666666666666666,0.3747576308385908,0,0.4166666666666667,0.006776224860777633,0.37083152119253376,0
37,0.01495747163979845,0.09090909090909093,0.2922229701522337,0,0.2727272727272727,0.004611191481078832,0.30558736237026535,0
38,0.3084202760151665,0.42857142857142855,0.4309103771370429,0,0.2857142857142857,0.028104798676694482,0.328444229745197,0
39,0.19413858604477288,0.4090909090909091,0.4615156577011416,0,0.2727272727272727,0.0019489143029498314,0.3202265646896141,0
40,0.07393071989720769,0.125,0.3343342520898813,0,0.4583333333333333,0.0019466822354801852,0.2921910550867791,0
41,0.1239386085154288,0.10714285714285714,0.18745499576642685,0,0.03571428571428571,0.003917397623909389,0.061718558288878796,0
42,0.02535124327352576,0.48,0.4399342087762299,0,0.24,0.004339116488309219,0.3534418164300994,0
43,0.2335753293944579,0.125,0.3954136073942845,0,0.5416666666666666,0.033263812931397976,0.3083269009877722,0
44,0.2119050031027288,0.125,0.25970430932462,0,0.125,0.0031400392183335425,0.12263042773250876,0
45,0.0940213782209861,0.21739130434782608,0.3219709841601737,0,0.2608695652173913,0.0036784982316086716,0.09031573480296634,0
46,0.1146410943269153,0.08695652173913042,0.19554612287722745,0,0.17391304347826086,0.0002649485904817293,0.11511083446493568,0
47,0.17089167871149422,0.07692307692307693,0.2095181803488337,0,0.23076923076923078,0.003482757683573062,0.1959611700549095,0
48,0.5096040605169504,0.4,0.4582473123266853,0,0.6,0.13727027222348442,0.37433290226779037,0
49,0.23323837110792794,0.16666666666666666,0.30548595066669043,0,0.13333333333333333,0.027017877824945802,0.08510918051300974,0
50,0.7047742011259781,0.5,0.5196647809979094,0,0.46153846153846156,0.09877974050684771,0.1499222471894486,0
51,0.18591959733103655,0.038461538461538464,0.20376690899309174,0,0.038461538461538464,0.0009423582873260061,0.09669403201332458,0
52,0.4413177328293287,0.3103448275862069,0.3747476238834759,0,0.41379310344827586,0.18138885593254322,0.28905483211405,0
53,0.2393829733339673,0.4782608695652174,0.45320769816860795,0,0.391304347826087,0.8880772303048746,0.507847626422638,1
54,0.4625052957077946,0.2272727272727273,0.3437668290682377,1,0.8181818181818182,0.8873778279604236,0.6276572290774166,1
